episodes,timesteps,collision,success,success_rate
1,114,True,False,0.0
2,275,False,True,0.016666666666666666
3,386,True,False,0.016666666666666666
4,523,False,True,0.03333333333333333
5,570,True,False,0.03333333333333333
6,732,False,False,0.03333333333333333
7,872,False,True,0.05
8,1009,False,True,0.06666666666666667
9,1149,False,False,0.06666666666666667
10,1173,True,False,0.06666666666666667
11,1310,False,True,0.08333333333333333
12,1462,False,False,0.08333333333333333
13,1589,False,True,0.1
14,2388,False,False,0.1
15,2461,True,False,0.1
16,2611,False,True,0.11666666666666667
17,2632,True,False,0.11666666666666667
18,2778,False,True,0.13333333333333333
19,2939,False,True,0.15
20,3647,False,True,0.16666666666666666
21,3790,False,False,0.16666666666666666
22,3927,False,True,0.18333333333333332
23,4156,False,True,0.2
24,4299,False,True,0.21666666666666667
25,4442,False,True,0.23333333333333334
26,4554,False,True,0.25
27,4812,False,True,0.26666666666666666
